1961,720.9999999999999
1962,768.1000000000001
1963,701.6999999999999
1964,676.6000000000001
1965,642.1999999999997
1967,660.8000000000001
1968,654.5999999999999
1969,724.0000000000001
1970,696.3000000000001
1972,610.4
1973,705.3
1974,658.0000000000001
1975,607.9000000000001
1976,596.6999999999999
1977,556.7
1978,640.0999999999998
1979,631.7999999999998
1980,300.1
1981,600.1
1982,581.5
1983,662.4999999999999
1984,643.7000000000002
1986,627.4999999999999
1987,588.7
1988,649.6999999999999
1989,583.0999999999999
1990,573.5999999999998
1991,688.1999999999999
1992,615.5
1993,612.9
1995,684.6
1996,680.0999999999999
1997,614.5999999999999
1998,679.2
1999,642.6999999999999
2000,689.6999999999998
2001,627.0999999999999
2002,591.7
2003,603.7
2004,627.9
2005,683.9000000000002
2006,577.2000000000002
2007,621.8
2009,616.6000000000003
2010,587.1
2011,646.1
2012,652.6000000000001
2013,550.5999999999999
2014,607.5999999999999
2015,617.9
2016,652.4999999999999
2017,619.5000000000002
